,Unnamed: 0,tconst,id,originalTitle,titreVF,original_language,production_countries,keywords,genres,anneeSortie,release_date,duree,budget,revenue,popularity,noteMoyenne,nbVotes
893,3214,tt0060648,36457,Mademoiselle,Mademoiselle,fr,"United Kingdom, France","teacher, teachers and students",Drame,1966,1966-06-01,103,0.0,0.0,4.162,7.1,1733
896,3225,tt0060675,4710,Masculin féminin,Masculin Féminin: 15 Faits Précis,fr,"Sweden, France","students' movement, bisexuality, menage a trois","Drame,Romance",1966,1966-03-22,103,0.0,0.0,10.902,7.4,18066
906,3259,tt0060758,95597,La noire de...,La noire de...,fr,"France, Senegal","southern france, french riviera, racism, black and white, maid, discrimination, master servant relationship",Drame,1966,1966-03-17,65,0.0,0.0,8.419,7.4,6509
911,3287,tt0060814,4708,Paris brûle-t-il ?,La Libération de Paris,fr,"France, United States of America","france, paris, france, resistance, world war ii, okkupation","Drame,Guerre,Histoire",1966,1966-10-26,173,0.0,0.0,17.271,6.8,5372
917,3310,tt0060879,66953,"Qui êtes-vous, Polly Maggoo?","Qui êtes-vous, Polly Maggoo ?",fr,France,"satire, fashion, fashion industry","Comédie,Drame",1966,1966-10-21,101,0.0,0.0,4.213,6.8,1310
920,3320,tt0060891,42722,La religieuse,"Suzanne Simonin, La religieuse de Denis Diderot",fr,France,"suicide, nun, lesbian relationship, priest",Drame,1966,1966-05-06,140,0.0,0.0,6.795,7.5,3359
924,3330,tt0060908,17685,Le roi de coeur,Le Roi de cœur,fr,"France, Italy","world war i, asylum, time bomb, ornithologist","Comédie,Drame,Guerre",1966,1966-12-21,102,0.0,0.0,6.448,7.3,4543
944,3417,tt0061113,90908,Trans-Europ-Express,Trans-Europ-Express,fr,"France, Belgium","rape, drug smuggling, surrealism, film in film, train","Comédie,Drame,Mystère,Thriller",1966,1967-01-25,105,0.0,0.0,4.163,7.0,2189
949,3440,tt0061138,42726,Un homme et une femme,Un homme et une femme,fr,France,"france, boarding school, widow, romance, flashback, love, falling in love, race car driver, widower, monte carlo rally, 1960s, inner thoughts","Drame,Romance",1966,1966-05-27,102,0.0,0.0,7.747,7.5,12492
963,3486,tt0061343,18628,Alexandre le bienheureux,Alexandre le Bienheureux,fr,France,,"Comédie,Drame",1968,1968-02-09,100,0.0,0.0,5.891,7.3,2398
964,3490,tt0061357,44446,Angélique et le sultan,Angélique et le Sultan,fr,"France, Italy, Germany","sultan, harem","Aventure,Histoire,Romance",1968,1968-03-13,105,0.0,0.0,8.255,6.3,1686
965,3493,tt0061369,11047,Astérix le Gaulois,Astérix le Gaulois,fr,"France, Belgium","rome, italy, roman empire, magic, village, cartoon, roman, ancient rome, based on comic, gallien, warrior, 1st century","Action,Animation,Aventure,Comédie,Famille",1967,1967-12-20,68,0.0,0.0,11.767,6.6,12397
966,3496,tt0061376,11396,Les aventuriers,Les Aventuriers,fr,"France, Italy","treasure, paris, france, africa, pilot, dragster","Aventure,Drame,Romance",1967,1967-04-12,112,0.0,0.0,9.057,7.0,4183
971,3505,tt0061395,649,Belle de Jour,Belle de jour,fr,"France, Italy","adultery, prostitute, jealousy, dream, husband wife relationship, dual identity, double life, brothel, women's sexual identity, masochism","Drame,Romance",1967,1967-05-24,100,0.0,0.0,34.246,7.6,50926
986,3533,tt0061473,1629,La chinoise,"La chinoise, ou plutôt à la chinoise: Un film en train de se faire",fr,France,"paris, france, based on novel or book, politics, roommate, communism, may 68","Comédie,Drame",1967,1967-08-30,95,0.0,30857.0,12.06,6.9,8628
989,3542,tt0061495,4837,La collectionneuse,Six contes moraux IV: La Collectionneuse,fr,France,"côte d'azur, menage a trois","Comédie,Drame,Romance",1967,1967-03-02,86,0.0,0.0,7.429,7.3,10231
995,3575,tt0061568,42690,Diaboliquement vôtre,Diaboliquement vôtre,fr,"Germany, France, Italy",,"Crime,Drame,Thriller",1967,1967-12-22,93,0.0,0.0,5.31,6.0,2020
1004,3601,tt0061605,137726,Le départ,Le départ,fr,Belgium,"car race, car mechanic, belgium, porsche","Comédie,Drame,Romance",1967,1967-03-06,93,0.0,0.0,3.489,6.4,1136
