,Unnamed: 0,tconst,id,originalTitle,titreVF,original_language,production_countries,keywords,genres,anneeSortie,release_date,duree,budget,revenue,popularity,noteMoyenne,nbVotes
10717,34442,tt0827713,8281,J'ai toujours rêvé d'être un gangster,J'ai toujours rêvé d'être un gangster,fr,France,"waitress, paris, france","Comédie,Crime,Drame",2007,2008-03-26,113,0.0,0.0,5.407,7.1,2228
10738,34492,tt0836700,8282,L'heure d'été,L'heure d'été,fr,France,"sibling relationship, summer, family","Drame,Famille",2008,2008-03-05,103,0.0,0.0,8.307,7.1,8322
10781,34617,tt0855895,12156,Nue propriété,Nue propriété,fr,"Belgium, France, Luxembourg","jealousy, love triangle, single parent, upper class, twin brother",Drame,2006,2006-09-01,95,0.0,0.0,1.975,6.8,1825
10783,34621,tt0856288,13312,À l'intérieur,À l'intérieur,fr,France,"baby, scissors, psychopath, photography, pregnancy, gore, murder, serial killer, slasher, car accident, home invasion, pregnant woman, death of husband, christmas, new french extremism, female psychopath","Horreur,Thriller",2007,2007-06-13,82,3000000.0,0.0,11.312,6.7,46383
10803,34665,tt0864770,8049,Le fils de l'épicier,Le fils de l'épicier,fr,France,"new love, parent child relationship, heart attack, grocer, village, corner shop, girlfriend, food, hospital, conflict, nature","Comédie,Drame",2007,2007-06-15,96,0.0,0.0,2.639,7.0,2562
10811,34690,tt0869977,10818,Naissance des pieuvres,Naissance des pieuvres,fr,France,"paris, france, forbidden love, female friendship, loss of virginity, swimming pool, coming of age, locker room, teenage girl, underwater, masturbation, shoplifting, teenage sexuality, first love, lgbt, woman director, synchronized swimming, lesbian, first time filmmaker","Drame,Romance",2007,2007-05-17,85,0.0,0.0,12.541,6.7,14283
10812,34692,tt0869994,8279,Paris,Paris,fr,France,"dying and death, dance, mother, new love, paris, france, city portrait, market, vegetable, university, accidental death","Comédie,Drame,Romance",2008,2008-02-20,130,19000000.0,23550000.0,7.887,6.8,12996
10823,34728,tt0875113,8827,99 francs,99 f,fr,France,"drug abuse, paris, france, based on novel or book, co-workers relationship, advertising executive, advertising agency, advertising campaign","Comédie,Drame",2007,2007-09-26,100,13442285.0,12500000.0,10.657,7.1,21144
10827,34741,tt0877700,40421,Donne-moi la main,Donne-moi la main,fr,"France, Germany","sibling relationship, funeral, runaway, road trip, hitchhiker, twins, lgbt, gay theme","Drame,Romance",2008,2008-02-18,80,0.0,0.0,2.315,5.8,1388
10832,34751,tt0880440,13732,L'auberge rouge,L'auberge rouge,fr,France,serial killer,"Comédie,Crime",2007,2007-12-05,95,0.0,0.0,7.185,5.9,1484
10842,34785,tt0884335,13336,Chrysalis,Chrysalis,fr,France,"future, dystopia, memory, doctor, torture, medical drama, punched in gut","Action,Crime,Drame,Science-Fiction,Thriller",2007,2007-06-25,94,12000000.0,0.0,6.22,5.4,3011
10853,34821,tt0889652,14949,Roman de gare,Roman de gare,fr,France,,"Drame,Thriller",2007,2007-06-27,103,0.0,0.0,4.034,7.1,2663
10854,34822,tt0889665,49084,Steak,Steak,fr,France,,"Comédie,Science-Fiction",2007,2007-06-20,82,0.0,0.0,7.109,6.0,3059
10885,34889,tt0901485,5592,La fille coupée en deux,La fille coupée en deux,fr,"France, Germany","career, wife, weather forecast, rivalry, wealth, author, wedding, extramarital affair","Comédie,Drame,Thriller",2007,2007-08-08,115,0.0,0.0,8.19,6.2,3834
10902,34923,tt0907305,67314,Proie,La traque,fr,"Belgium, France","wild boar, forest, woods","Aventure,Drame,Horreur,Mystère,Thriller",2010,2011-07-13,90,0.0,0.0,2.35,5.2,1060
10924,34971,tt0920470,14765,MR 73,RmR-73,fr,France,,"Crime,Drame,Mystère,Thriller",2008,2008-03-12,125,0.0,0.0,9.351,6.6,6634
10925,34973,tt0920473,10541,Un baiser s'il vous plaît,Un baiser s'il vous plaît,fr,France,"hotel room, secret love, prostitute, lovesickness, paris, france, love of one's life, cheating, love at first sight, pharmacist, classical music, seduction, longing, kiss, gathering, conversation, tenderness, make a match, teacher, extramarital affair, unhappiness","Comédie,Drame,Romance",2007,2007-06-06,96,0.0,0.0,6.517,6.7,2743
10934,35012,tt0926759,12169,Le premier jour du reste de ta vie,Le premier jour du reste de ta vie,fr,France,"marriage, diary, wine, car crash, student of medicine, family, family feud",Drame,2008,2008-07-23,114,5900000.0,13200000.0,7.499,7.5,10223
10935,35014,tt0926763,31340,Le nouveau protocole,Le nouveau protocole,fr,France,,"Action,Drame,Mystère,Thriller",2008,2008-03-19,92,0.0,0.0,4.408,6.1,1053
10943,35042,tt0935086,80799,Tout est pardonné,Tout est pardonné,fr,"France, Austria","drug addiction, teenage girl, father daughter reunion, woman director, addiction recovery, father daughter relationship","Drame,Famille",2007,2007-09-26,105,0.0,0.0,2.429,6.7,1007
10951,35064,tt0940657,26505,Arthur et la vengeance de Maltazard,Arthur et la Vengeance de Maltazard,fr,France,"live action and animation, minimoys","Animation,Aventure,Famille,Fantastique",2009,2009-11-26,107,87000000.0,0.0,18.48,5.3,11586
10952,35072,tt0942379,8648,Les liens du sang,Les Liens du sang,fr,France,prison,"Action,Crime,Drame",2008,2008-02-06,106,0.0,0.0,5.29,6.2,1006
10955,35076,tt0944834,10800,Chasseurs de dragons,Chasseurs de dragons,fr,France,"future, destroy, world supremacy, best friend, dragon, doomsday","Action,Animation,Aventure,Famille",2008,2008-03-19,80,12000000.0,12235843.0,11.785,6.5,13588
10962,35091,tt0948535,15457,Faubourg 36,Faubourg 36,fr,"France, Germany, Czech Republic",,"Comédiemusicale,Drame,Musique",2008,2008-09-24,120,0.0,12940622.0,6.866,6.5,2982
10970,35114,tt0953382,21788,Les enfants de Timpelbach,Les Enfants de Timpelbach,fr,"Belgium, France, Luxembourg",,"Aventure,Famille,Fantastique",2008,2008-12-17,97,0.0,0.0,8.022,5.8,1141
10980,35136,tt0961097,77459,Un monstre à Paris,Un monstre à Paris,fr,France,"monster, paris, france","Animation,Aventure,Comédie,Famille,Fantastique",2011,2011-10-12,90,25000000.0,26611650.0,19.862,6.7,23288
10986,35146,tt0962782,8268,Survivre avec les loups,Survivre avec les loups,fr,"Belgium, Germany, France","nazi, wolf, loss of loved one, world war ii, deportation, jew persecution, feral child, woman director",Drame,2007,2007-11-21,118,0.0,0.0,6.762,6.5,1193
11012,35201,tt0973844,36108,Chacun son cinéma ou Ce petit coup au coeur quand la lumière s'éteint et que le film commence,Chacun son cinéma,fr,France,"anthology, woman director","Comédie,Drame",2007,2007-10-31,100,0.0,0.0,9.787,6.7,5636
11047,35283,tt0990361,12449,La chambre des morts,La Chambre des morts,fr,France,"kidnapping, revenge, haunted by the past","Crime,Mystère,Thriller",2007,2007-11-14,115,0.0,0.0,3.884,6.3,1882
11053,35300,tt0993789,8892,Un conte de Noël,Un conte de Noël,fr,France,"christmas party, family secrets, dysfunctional family, alcoholism, banishment, transplant, mental illness, bone marrow transplant, christmas","Comédie,Drame",2008,2008-05-16,150,0.0,7356393.0,9.64,6.9,7756
11063,35312,tt0996605,14448,Les chansons d'amour,Les chansons d'amour,fr,France,"paris, france, cigarette, musical, sister, love, death","Comédiemusicale,Drame,Romance",2007,2007-05-23,91,0.0,0.0,7.533,7.0,10368
11064,35316,tt0996930,9736,Deux jours à tuer,Deux jours à tuer,fr,France,,"Drame,Romance",2008,2008-04-30,85,0.0,0.0,6.783,7.1,3680
11090,35386,tt10023172,526811,Passion simple,Passion simple,fr,"Belgium, France","based on novel or book, literature professor, love affair, single mother","Drame,Romance",2020,2021-01-14,99,0.0,75167.0,55.574,5.4,1273
11096,35399,tt1002966,13652,Ca$h,Ca$h,fr,France,"police, poker, boat, traitor, french riviera","Comédie,Crime,Thriller",2008,2008-04-23,100,0.0,0.0,8.446,5.9,5160
11099,35406,tt1003052,18940,Secret défense,Secret défense,fr,France,"intelligence agency, terrorism",Thriller,2008,2008-12-10,100,15000000.0,0.0,10.412,6.3,3798
11115,35476,tt10088984,601188,Ouistreham,Ouistreham,fr,France,,Drame,2021,2022-01-12,106,0.0,0.0,8.001,6.9,2611
11117,35482,tt10092752,659067,La terre et le sang,La terre et le sang,fr,"Belgium, France",,"Action,Drame,Thriller",2020,2020-04-17,80,0.0,0.0,10.68,5.2,2980
11126,35510,tt10115562,595867,Chambre 212,Chambre 212,fr,"Belgium, France, Luxembourg","hotel room, adultery, husband wife relationship, paris, france, midlife crisis, lover, piano lessons, teacher student relationship, magic realism, older woman younger man relationship, estranged couple, marriage problems, past life, unfaithful wife, romantic dramedy","Comédie,Drame",2019,2019-10-09,86,0.0,0.0,13.863,6.0,2426
11129,35516,tt10123698,611751,Miss,Miss,fr,France,"beauty contest, beauty queen contest, travestite, travesti, transgender","Comédie,Drame",2020,2020-10-21,107,0.0,0.0,6.671,6.4,1025
11132,35523,tt10127684,671039,Bronx,Bronx,fr,France,,"Action,Crime,Drame,Thriller",2020,2020-10-30,116,0.0,0.0,12.371,6.1,10302
11141,35539,tt10143498,536506,Mon chien Stupide,Mon chien stupide,fr,"Belgium, France",,"Comédie,Drame",2019,2019-10-30,106,0.0,4040319.0,7.415,6.2,2486
11144,35545,tt1014762,62320,Home,Boomerang,fr,France,"climate change, earth, global warming, water pollution, well, panorama, earth in peril, solar power, aerial photography, greenhouse gases, carbon offset, landscape, easter island, oil tanker, oil rig ","Documentaire,Famille",2009,2009-06-03,118,0.0,0.0,12.968,8.5,23238
11149,35564,tt10155342,592800,La femme de mon frère,La femme de mon frère,fr,Canada,,"Comédie,Drame",2019,2019-06-07,117,0.0,0.0,5.234,6.6,1302
11176,35627,tt10196398,651881,Adieu les cons,Adieu les cons,fr,France,,"Comédie,Drame",2020,2020-10-21,87,9700000.0,16955173.0,9.631,6.7,7339
11177,35630,tt10199586,496967,Atlantique,Atlantique,fr,"Belgium, France, Senegal","loss of loved one, emigration, supernatural, senegal, construction worker, forced marriage, dakar","Drame,Fantastique,Mystère,Romance",2019,2019-10-02,106,1600000.0,0.0,8.239,6.7,10848
11178,35633,tt10199590,586863,Les misérables,Les Misérables,fr,France,"police brutality, paris, france, police, ghetto, drone, football (soccer), suburb, juvenile delinquent, police officer, mob","Crime,Drame,Thriller",2019,2019-11-14,104,0.0,0.0,10.923,7.6,29284
11182,35647,tt10204366,617986,Trois jours et une vie,Trois jours et une vie,fr,"Belgium, France",,"Crime,Drame,Thriller",2019,2019-09-18,120,0.0,0.0,9.426,6.7,2110
11183,35649,tt10204940,589982,Donne-moi des ailes,Donne-moi des ailes,fr,"Norway, France",based on true story,"Aventure,Drame,Famille",2019,2019-09-12,113,0.0,0.0,7.528,7.3,3020
11187,35657,tt1020773,48303,Copie conforme,Copie conforme,fr,"Belgium, France, Iran, Italy","wedding anniversary, italian art, tuscany, italy, pair of earrings, estranged father","Drame,Romance",2010,2010-05-18,106,7000000.0,7736632.0,10.335,7.2,27739
11191,35669,tt1020938,44737,Bébé(s),Bébé(s),fr,France,duringcreditsstinger,Documentaire,2010,2010-05-07,79,0.0,0.0,7.392,7.0,7510
11199,35698,tt10228204,592798,Perdrix,Perdrix,fr,France,,"Comédie,Drame,Romance",2019,2019-08-14,99,0.0,0.0,5.812,6.3,1364
11205,35713,tt1023441,38984,Coco Chanel & Igor Stravinsky,Coco & Igor,fr,"France, Japan, Switzerland","paris, france, based on novel or book, ballet, extramarital affair, duringcreditsstinger, 1920s, 1910s","Drame,Musique,Romance",2009,2009-09-24,119,0.0,5753490.0,9.447,6.3,7140
11213,35742,tt10243676,660715,After Blue (Paradis sale),After Blue (Paradis sale),fr,France,"mission, gun, rifle, neon, torture, tentacle, neo-western, lesbian, post-apocalyptic","Fantastique,Science-Fiction,Western",2021,2021-10-20,129,2700000.0,0.0,5.794,5.4,1136
11223,35766,tt10251538,605735,10 jours sans maman,10 jours sans maman,fr,France,remake,"Comédie,Famille",2020,2020-02-19,104,0.0,9305412.0,9.237,5.4,1340
11226,35776,tt10260042,582309,Antigone,Antigone,fr,Canada,woman director,"Crime,Drame",2019,2019-11-08,109,3500000.0,0.0,6.499,7.0,1907
11232,35788,tt10272534,599377,Lvx Æterna,Lux Æterna,fr,France,avant-garde,"Drame,Thriller",2019,2020-09-23,51,0.0,323829.0,9.4,6.2,8040
11246,35822,tt10290244,893366,Le petit Nicolas: Qu'est-ce qu'on attend pour être heureux?,Little Nicholas - Happy as Can Be,fr,"Canada, France, Luxembourg",,"Animation,Comédie,Famille",2022,2022-10-12,85,0.0,0.0,32.976,7.1,1072
11248,35829,tt1029234,9539,Martyrs,Martyrs,fr,"Canada, France","child abuse, suffering, nihilism, degradation, ecstasy, woman martyr, cult, hysteria, helplessness, revenge, torture chamber, mercilessness, torture, cruelty, home invasion, transcendence, decadence, martyr, angst, captivity, abuse, mistreatment, dehumanization, emaciation, new french extremism, incarceration, chloroform, mysticism, abused woman, depravation, blood on body, murderess, lesbian, devastating, mental abuse","Drame,Horreur,Thriller",2008,2008-09-03,99,6500000.0,1100000.0,29.918,7.0,112282
11256,35852,tt10307440,674607,Jusqu'au déclin,Jusqu'au déclin,fr,Canada,"canada, winter, quebec","Action,Thriller",2020,2020-02-27,83,0.0,0.0,7.141,6.0,10184
11257,35853,tt10307724,660006,Madame Claude,Madame Claude,fr,France,"politics, biography, prostitution, 1960s, sex","Biographie,Crime,Drame,Romance",2021,2021-04-02,112,0.0,0.0,7.694,5.4,4216
11278,35906,tt1032854,22521,L'avocat de la terreur,L'Avocat de la terreur,fr,France,,"Biographie,Documentaire,Histoire",2007,2007-06-06,135,0.0,0.0,2.849,7.1,1738
11287,35938,tt10341034,663260,Boîte noire,Boîte noire,fr,France,"airplane, airplane crash, french cinema, plane crash, aircraft crash, aeroplane","Drame,Mystère,Thriller",2021,2021-09-08,129,10722240.0,9738741.0,13.465,7.2,17384
11300,35962,tt10345590,641501,Comment je suis devenu super-héros,Comment je suis devenu super-héros,fr,France,"based on novel or book, superhero","Action,Aventure,Comédie,Science-Fiction,Thriller",2020,2020-11-19,97,18000000.0,0.0,17.786,5.8,6315
11303,35978,tt1035729,14720,Le bal des actrices,Le bal des actrices,fr,France,woman director,"Comédie,Drame",2009,2009-01-28,105,0.0,0.0,7.871,6.5,1300
11304,35979,tt1035736,11156,Coco avant Chanel,Coco avant Chanel,fr,"Belgium, France","fashion designer, woman director","Biographie,Drame,Histoire",2009,2009-04-22,105,0.0,0.0,12.489,6.6,42811
11309,35988,tt10364034,496450,Miraculous - Le film,Miraculous - Le film,fr,"China, France","paris, france, superhero, musical, interracial romance, teen superhero","Action,Animation,Aventure,Comédie,Famille,Fantastique,Musique,Romance",2023,2023-07-05,105,86000000.0,36010829.0,212.626,6.1,7287
11313,35995,tt10366428,606236,Le sens de la famille,Le sens de la famille,fr,France,,"Comédie,Fantastique",2020,2021-06-30,100,0.0,4849622.0,19.978,6.0,1052
11315,35997,tt10366514,655082,Eiffel,Eiffel,fr,"Belgium, France, Germany","paris, france, eiffel tower, paris, 19th century, world's fair, tour eiffel","Biographie,Drame,Histoire,Romance",2021,2021-10-07,108,26000000.0,13000000.0,12.54,6.2,8246
11325,36029,tt10375106,638965,Mandibules,Mandibules,fr,"Belgium, France","giant insect, fly (insect)","Comédie,Fantastique",2020,2020-09-16,77,4900000.0,2044087.0,8.92,6.6,6989
11338,36093,tt10404944,637534,BAC Nord,BAC Nord,fr,France,"police, marseille, france","Action,Crime,Drame,Thriller",2020,2021-08-18,105,14479740.0,0.0,23.233,6.9,14530
11339,36094,tt10405142,714869,Qu'est-ce qu'on a tous fait au Bon Dieu ?,Qu'est-ce qu'on a tous fait au Bon Dieu ?,fr,France,,"Comédie,Romance",2021,2021-12-21,98,22000000.0,0.0,12.669,6.1,4349
11341,36100,tt10407272,583268,Deux moi,Deux moi,fr,"Belgium, France","paris, france, loneliness","Comédie,Drame,Romance",2019,2019-09-11,110,0.0,0.0,9.077,6.6,5654
11342,36101,tt10409498,574321,Seules les bêtes,Seules les bêtes,fr,"France, Germany",,"Crime,Drame,Mystère",2019,2019-12-04,117,5000000.0,878668.0,9.038,7.1,8397
11349,36133,tt10426916,679989,Tout simplement noir,Tout simplement noir,fr,France,,Comédie,2020,2020-07-08,90,0.0,0.0,7.215,6.4,2614
11357,36162,tt1043852,19106,Lascars,Les lascars,fr,France,,"Animation,Comédie",2009,2009-06-17,96,12500000.0,0.0,5.305,6.9,1747
11359,36169,tt10441958,575291,La bonne épouse,La bonne épouse,fr,France,"france, change, 1970s, feminism","Comédie,Drame",2020,2020-03-11,109,0.0,0.0,8.02,5.8,2352
11369,36199,tt10456740,706503,Balle perdue,Balle Perdue,fr,"Belgium, France","marseille, france, dirty cop, ex-con","Action,Crime,Thriller",2020,2020-06-19,92,0.0,0.0,8.731,6.3,14694
11370,36200,tt10457128,659959,Été 85,Été 85,fr,France,"based on novel or book, sailing, normandy, france, motorcycle, teenage boy, lgbt, lgbt teen, summer job, seaside town, 1980s, teenage protagonist, gay theme, boys' love (bl)","Drame,Romance",2020,2020-07-14,101,6900000.0,3600000.0,12.932,6.9,14576
11376,36225,tt10469804,712123,Teddy,Teddy,fr,France,werewolf,"Comédie,Drame,Horreur",2020,2020-09-05,88,0.0,142027.0,7.009,6.0,1967
11384,36238,tt1048171,14415,Séraphine,Séraphine,fr,"France, Belgium",,"Biographie,Drame,Histoire",2008,2008-10-01,125,0.0,0.0,5.885,7.4,6622
11391,36273,tt10505316,660000,Illusions perdues,Illusions perdues,fr,"Belgium, France","paris, france, based on novel or book, poet, 19th century, 1840s, theatre, affair, 1830s, critical","Drame,Histoire,Romance",2021,2021-10-20,149,20800000.0,8600000.0,10.829,7.4,6930
11402,36326,tt10534996,680952,Josep,Josep,fr,"Belgium, France",,"Animation,Biographie,Drame,Histoire",2020,2020-09-30,71,0.0,0.0,8.687,7.4,2232
11403,36328,tt10537660,611408,Mystère à Saint-Tropez,Mystère à Saint-Tropez: Une enquête de l'inspecteur Boulin,fr,France,"france, saint-tropez, france","Comédie,Crime,Mystère",2021,2021-07-14,89,16438275.0,1453459.0,8.752,5.0,1856
11410,36355,tt10545470,612368,Au nom de la terre,Au nom de la terre,fr,"Belgium, France","farmer family, rural life","Biographie,Drame",2019,2019-09-25,103,0.0,0.0,6.225,6.8,1563
11411,36357,tt10545696,752564,Maigret,Maigret et la jeune morte,fr,"Belgium, France",,"Crime,Drame,Mystère",2022,2022-02-23,89,7000000.0,5934907.0,8.076,5.9,3459
11412,36359,tt10545704,670243,Adieu Monsieur Haffmann,Adieu Monsieur Haffmann,fr,France,"world war ii, jew persecution","Drame,Histoire",2021,2022-01-12,115,0.0,0.0,11.537,7.0,3242
11418,36372,tt10551904,615684,L'origine du monde,L'origine du monde,fr,"Belgium, France",,"Comédie,Drame",2020,2020-10-08,98,0.0,0.0,4.585,5.8,2009
