,Unnamed: 0,nconst,Nom,birthYear,deathYear,commeRealisateur,commeActeur
41314,41314,nm3613566,Yeon Sang-ho,\N,\N,"tt2086830,tt22352848,tt3845670,tt5700672,tt6890582,tt8850222",pas_de_film
41315,41315,nm2035216,Alexandre Courtès,\N,\N,tt2087850,pas_de_film
41316,41316,nm0414551,Michael Jacobs,1955,\N,tt20879602,pas_de_film
41317,41317,nm1118351,Jalmari Helander,1976,\N,tt2088003,pas_de_film
41318,41318,nm1133652,Miguel Ferrari,\N,\N,tt2091235,pas_de_film
41319,41319,nm1703669,Christian Cantamessa,\N,\N,tt2091478,pas_de_film
41320,41320,nm8302351,Stephen Donnelly,\N,\N,tt20917338,pas_de_film
41321,41321,nm1471703,Malik Bader,\N,\N,"tt2093977,tt2883448,tt7420342",pas_de_film
41322,41322,nm1637785,Liza Johnson,\N,\N,tt2093991,pas_de_film
41323,41323,nm0616673,Claudia Myers,\N,\N,"tt2093995,tt4622682",pas_de_film
41324,41324,nm2104063,Eric Heisserer,1970,\N,tt2094018,pas_de_film
41325,41325,nm0234506,Andrew Dosunmu,\N,\N,tt2094890,pas_de_film
41326,41326,nm3124542,David Palmer,\N,\N,tt2097307,pas_de_film
41327,41327,nm1557889,Romain Lévy,\N,\N,tt2104080,pas_de_film
41328,41328,nm0490736,Sébastien Laudenbach,\N,\N,"tt21042126,tt5698496",pas_de_film
41329,41329,nm2462508,Chiara Malta,1977,\N,tt21042126,pas_de_film
41330,41330,nm4691258,Antoine Tassin,\N,\N,tt21049266,pas_de_film
41331,41331,nm1337218,Paul Sen,\N,\N,tt2104994,pas_de_film
41332,41332,nm2301412,Justin Martinez,\N,\N,tt2105044,pas_de_film
41333,41333,nm1341941,Skye Borgman,\N,\N,"tt21059520,tt3444312",pas_de_film
41334,41334,nm2656528,Anton King,\N,\N,tt2106529,pas_de_film
41335,41335,nm0558873,Nic Mathieu,\N,\N,tt2106651,pas_de_film
41336,41336,nm0305563,Adrian Garcia Bogliano,1980,\N,tt2107648,pas_de_film
41337,41337,nm4138449,Baloji,1978,\N,tt21086802,pas_de_film
41338,41338,nm7557471,Justin Martin,\N,\N,tt21093976,pas_de_film
41339,41339,nm3366745,Lowell Dean,1979,\N,"tt21097192,tt2781516,tt4515762",pas_de_film
41340,41340,nm3661688,Aaron Schimberg,\N,\N,tt21097228,pas_de_film
41341,41341,nm4340409,Molly McGlynn,\N,\N,tt21103576,pas_de_film
41342,41342,nm0948027,Soon-rye Yim,1960,\N,"tt21111120,tt6083230",pas_de_film
41343,41343,nm1892220,Josh C. Waller,\N,\N,tt2111392,pas_de_film
41344,41344,nm5031184,Estibaliz Urresola Solaguren,1984,\N,tt21113962,pas_de_film
41345,41345,nm0282064,Mandie Fletcher,1954,\N,"tt2112096,tt6542108",pas_de_film
41346,41346,nm0312315,Hugo Gélin,1980,\N,"tt2112129,tt5078204,tt8265928",pas_de_film
41347,41347,nm0308498,Sean Garrity,\N,\N,"tt2112210,tt3717016",pas_de_film
41348,41348,nm4775043,Marten Persiel,1974,\N,tt2113090,pas_de_film
41349,41349,nm4996440,Giovanni Bognetti,\N,\N,tt21149522,pas_de_film
41350,41350,nm2137998,Laurel Parmet,\N,\N,tt21156390,pas_de_film
41351,41351,nm9339422,Stephen Gray,\N,\N,tt21191906,pas_de_film
41352,41352,nm3488335,Chris Radtke,\N,\N,tt21191906,pas_de_film
41353,41353,nm0270990,Arne Feldhusen,1971,\N,"tt21195548,tt5645006",pas_de_film
