,nconst,Action,Actualités,Animation,Aventure,Biographie,Comédie,Comédiemusicale,Crime,Documentaire,Drame,Famille,Fantastique,Guerre,Histoire,Horreur,Musique,Mystère,Romance,Science-Fiction,Sport,Thriller,Téléfilm,Western,nb_films_y,anneeSortie,nbVotes
14114,nm0617009,3,0,0,3,0,1,0,0,0,2,0,0,0,1,0,0,0,1,1,0,0,0,0,4,2009.0,34683.0
14115,nm0617078,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1965.0,1425.0
14116,nm0617094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1998.0,3530.0
14117,nm0617141,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2019.0,7129.0
14118,nm0617304,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1969.0,6076.0
14119,nm0617394,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1998.0,1253.0
14120,nm0617396,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2012.0,833.0
14121,nm0617571,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1995.0,2610.0
14122,nm0617585,0,0,0,0,0,1,0,2,0,5,0,0,1,0,0,0,1,1,0,0,0,0,0,5,1975.0,356.0
14123,nm0617610,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1960.0,169.0
14124,nm0617622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,2,0,0,2,2010.0,4173.0
14125,nm0617659,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2010.0,1812.0
14126,nm0617674,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1975.0,1655.0
14127,nm0617736,0,0,0,1,1,4,0,0,0,9,0,1,2,0,2,0,1,4,1,0,2,0,1,15,1972.0,4788.0
14128,nm0617740,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1999.0,1109.0
14129,nm0617741,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1962.0,2918.0
14130,nm0617777,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2010.0,63.0
14131,nm0617790,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,1,1,0,0,1,0,0,4,1982.0,761.0
14132,nm0617799,1,0,0,1,0,0,0,3,0,3,0,0,0,0,0,0,1,1,0,0,3,0,0,4,2008.0,9889.0
14133,nm0617846,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1960.0,8623.0
14134,nm0617852,0,0,0,0,0,0,0,2,0,4,0,1,0,0,0,0,1,0,1,0,4,0,0,4,2011.0,44360.0
14135,nm0618057,0,0,0,0,1,1,0,3,0,5,0,0,1,1,1,0,1,0,0,0,2,0,0,5,2001.0,110548.0
14136,nm0618218,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2003.0,3784.0
14137,nm0618291,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2000.0,2822.0
14138,nm0618416,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,2023.0,15078.0
14139,nm0618427,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2014.0,1189.0
14140,nm0618452,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1984.0,39708.0
14141,nm0618456,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2014.0,2277.0
14142,nm0618460,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2006.0,5630.0
14143,nm0618467,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2002.0,531.0
14144,nm0618476,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2000.0,81.0
14145,nm0618477,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1992.0,160.0
14146,nm0618481,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1970.0,17.0
14147,nm0618496,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2014.0,2099.0
14148,nm0618502,0,0,1,1,0,1,0,0,0,4,0,0,2,0,0,0,1,1,0,0,1,0,0,5,2012.0,262.0
14149,nm0618520,0,0,0,0,0,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,2,2008.0,4390.0
14150,nm0618651,6,0,0,1,0,5,0,8,0,9,0,0,1,1,0,0,0,0,0,0,3,0,0,14,2003.0,18212.0
14151,nm0618690,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2017.0,7366.0
14152,nm0618715,0,0,0,0,0,1,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,4,2006.0,231.0
14153,nm0618741,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2017.0,3662.0
14154,nm0618775,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1983.0,134.0
14155,nm0618795,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,4,1999.0,2489.0
14156,nm0618797,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1977.0,13271.0
14157,nm0618853,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1991.0,808.0
14158,nm0618864,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1964.0,84.0
14159,nm0618960,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,2,2018.0,2802.0
14160,nm0618986,0,0,0,0,0,0,0,1,0,3,0,0,1,0,1,0,0,0,0,0,1,0,0,3,2005.0,174.0
14161,nm0619077,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1987.0,10530.0
14162,nm0619173,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020.0,2060.0
14163,nm0619178,3,0,0,3,0,2,0,1,0,7,1,0,1,1,1,0,1,0,2,0,2,0,0,8,2018.0,5948.0
14164,nm0619185,2,0,0,0,0,2,0,3,0,8,0,1,0,1,1,1,1,3,1,0,1,0,0,9,2003.0,9495.0
14165,nm0619187,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2007.0,18869.0
14166,nm0619197,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1996.0,3282.0
14167,nm0619227,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1962.0,1955.0
14168,nm0619228,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1964.0,4161.0
14169,nm0619240,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1973.0,8440.0
14170,nm0619337,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1972.0,1303.0
14171,nm0619374,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1991.0,13359.0
14172,nm0619406,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2002.0,118752.0
14173,nm0619600,1,0,1,2,0,3,0,3,0,9,1,1,0,0,1,0,2,0,0,1,4,0,0,12,2005.0,22918.0
14174,nm0619605,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1982.0,41.0
14175,nm0619623,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1988.0,2093.0
14176,nm0619651,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1992.0,148969.0
14177,nm0619677,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1997.0,1898.0
14178,nm0619700,0,0,0,0,1,1,0,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,2,1997.0,23699.0
14179,nm0619701,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1975.0,4476.0
14180,nm0619802,3,0,0,2,0,0,0,0,0,3,4,3,1,1,0,0,1,0,2,0,2,0,1,5,1963.0,10141.0
14181,nm0619822,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1996.0,11175.0
14182,nm0619824,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1966.0,12523.0
14183,nm0619887,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1996.0,14.0
14184,nm0619938,10,0,1,1,2,2,0,2,0,17,1,0,4,7,0,0,2,0,1,0,4,0,0,17,1972.0,34664.0
14185,nm0619953,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,2,1994.0,18153.0
14186,nm0619991,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1960.0,1040.0
14187,nm0620002,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2009.0,2550.0
14188,nm0620017,10,0,10,9,0,4,0,0,0,1,0,6,0,0,1,0,1,0,1,0,0,0,0,10,2012.0,6902.0
14189,nm0620018,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,2,2000.0,2071.0
14190,nm0620026,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1976.0,23784.0
14191,nm0620073,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1974.0,5873.0
14192,nm0620090,1,0,1,0,0,0,0,0,0,3,0,1,0,1,1,0,1,0,0,0,1,0,0,3,2006.0,8537.0
14193,nm0620092,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1968.0,3276.0
14194,nm0620110,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1982.0,2476.0
14195,nm0620117,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1976.0,2066.0
14196,nm0620124,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2000.0,3908.0
14197,nm0620127,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1973.0,4499.0
14198,nm0620130,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1971.0,2101.0
14199,nm0620131,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1961.0,4674.0
14200,nm0620142,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2021.0,1005.0
14201,nm0620154,0,0,0,0,0,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1968.0,2447.0
14202,nm0620164,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,1,0,0,0,0,0,2,1968.0,5912.0
14203,nm0620168,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1978.0,1719.0
14204,nm0620206,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1966.0,3710.0
14205,nm0620217,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2000.0,13649.0
