,nconst,Action,Actualités,Animation,Aventure,Biographie,Comédie,Comédiemusicale,Crime,Documentaire,Drame,Famille,Fantastique,Guerre,Histoire,Horreur,Musique,Mystère,Romance,Science-Fiction,Sport,Thriller,Téléfilm,Western,nb_films,anneeSortie,nbVotes
1546,nm0131910,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,1,1,0,1,0,1,0,0,3,1978.0,8455.0
1547,nm0131969,0,0,0,0,0,1,0,1,0,3,1,0,0,0,0,0,0,2,0,0,0,0,0,3,2016.0,15646.0
1548,nm0131995,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2,1980.0,4423.0
1549,nm0132064,0,0,0,1,0,5,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,5,2004.0,3343.0
1550,nm0132120,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2016.0,10048.0
1551,nm0132257,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,0,0,2,2006.0,15536.0
1552,nm0132414,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,3,3,0,3,2012.0,1302.0
1553,nm0132709,11,0,0,8,0,1,0,4,0,5,0,0,1,0,0,0,2,3,2,0,11,0,1,14,2004.0,145467.0
1554,nm0133028,0,0,0,0,0,0,0,1,0,4,0,1,0,0,0,0,0,1,0,0,0,0,0,4,2014.0,6207.0
1555,nm0133075,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013.0,1750.0
1556,nm0133326,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,1,1,3,0,0,1,0,0,5,2017.0,27091.0
1557,nm0133384,0,0,0,0,1,0,0,1,0,2,1,0,0,0,0,0,0,1,1,0,1,0,0,3,1984.0,2664.0
1558,nm0133424,0,0,0,1,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1966.0,262.0
1559,nm0133426,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1983.0,3083.0
1560,nm0133763,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2003.0,38.0
1561,nm0133773,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2014.0,5713.0
1562,nm0133899,1,0,0,1,0,5,0,3,0,6,3,0,0,0,0,0,1,0,0,0,3,0,0,7,2013.0,18777.0
1563,nm0134176,1,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,2,1,1,2,0,0,4,1998.0,50583.0
1564,nm0134224,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2018.0,88813.0
1565,nm0134396,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2014.0,8360.0
1566,nm0134467,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2000.0,14.0
1567,nm0134559,0,0,0,0,0,2,0,1,0,10,0,0,0,0,0,0,1,1,0,0,1,0,0,10,2008.0,5867.0
1568,nm0134591,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2001.0,347.0
1569,nm0134618,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2013.0,83.0
1570,nm0134811,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2011.0,6802.0
1571,nm0134901,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2010.0,175.0
1572,nm0135141,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1994.0,3168.0
