,nconst
3582,nm0630821
3583,nm0000919
3590,nm0001559
3591,nm0002053
3592,nm0639613
3593,nm0908647
3600,nm0001289
3601,nm0000765
3602,nm0048939
3603,nm0687958
3610,nm0002094
3611,nm0816457
3612,nm0004462
3613,nm0329746
3620,nm0036181
3621,nm0959916
3622,nm0510058
3623,nm0557540
3630,nm0004769
3631,nm0201239
3632,nm0863016
3633,nm0000268
3640,nm0000056
3641,nm0656183
3642,nm0004309
3643,nm0003225
3650,nm0001637
3651,nm0001637
3652,nm0001637
3653,nm0682423
3662,nm0000348
3663,nm0000989
3664,nm0442304
3665,nm0910737
3672,nm0000026
3673,nm0000013
3674,nm0949574
3675,nm0575031
3682,nm0136994
3683,nm0276043
3684,nm0511798
3685,nm0461594
3692,nm0004310
3693,nm0002935
3694,nm0220388
3695,nm0872629
3704,nm0000062
3705,nm0011105
3706,nm0611955
3707,nm0026039
3714,nm0000060
3715,nm0576345
3716,nm0653942
3717,nm0614677
3724,nm0001637
3725,nm0665327
3726,nm0293444
3727,nm0114543
3734,nm0000018
3735,nm0000064
3736,nm0001998
3737,nm0001313
3744,nm0000053
3745,nm0000511
3746,nm0002269
3747,nm0292116
3754,nm0000008
3755,nm0645402
3756,nm0161393
3757,nm0385757
3764,nm0300064
3765,nm0000901
3766,nm0282530
3767,nm0234264
3775,nm0439344
3776,nm0714236
3777,nm0479351
3778,nm0772480
3785,nm0002131
3786,nm0001010
3787,nm0000404
3788,nm0000879
3795,nm0768334
3796,nm0014493
3797,nm0001628
3798,nm0559439
3805,nm0000537
3806,nm0000537
3807,nm0001822
3808,nm0001822
3818,nm0000012
3819,nm0001076
3820,nm0120658
3821,nm0011741
3828,nm0002131
3829,nm0002131
3830,nm0001954
3831,nm0003337
3839,nm0000634
3840,nm0420383
3841,nm0187754
3842,nm0443288
3849,nm0441526
3850,nm0441526
3851,nm0441526
3852,nm0052491
3871,nm0683831
3872,nm0025954
3873,nm0708048
3874,nm0062593
3881,nm0900143
3882,nm0001128
3883,nm0704719
3884,nm0109265
3891,nm0000032
3892,nm0001257
3893,nm0000057
3894,nm0733460
3901,nm0000052
3902,nm0000733
3903,nm0001012
3904,nm0590452
3911,nm0316071
3912,nm0938231
3913,nm0438833
3914,nm0204687
3921,nm0000901
3922,nm0889024
3923,nm0762248
3924,nm0797848
3931,nm0603402
3932,nm0542690
3933,nm0244849
3934,nm0621974
3941,nm0191950
3942,nm0540416
3943,nm0000811
3944,nm0002088
3951,nm0183822
3952,nm0001046
3953,nm0681955
3954,nm0913332
3961,nm0001792
3962,nm0001335
3963,nm0001788
3964,nm0687189
3971,nm0450138
3972,nm0036546
3973,nm0556654
3974,nm0093421
3981,nm0000060
3982,nm0000348
3983,nm0001141
3984,nm0000734
3991,nm0930713
3992,nm0117711
3993,nm0000784
3994,nm0812125
4001,nm0433017
4002,nm0166706
4003,nm0303593
4004,nm0722826
4011,nm0000086
4012,nm0108400
4013,nm0785664
4014,nm0785664
4022,nm0874502
4023,nm0001379
4024,nm0002769
4025,nm0528595
4033,nm0845328
4034,nm0079629
4035,nm0153507
4036,nm0929366
4041,nm0000901
4042,nm0893341
4043,nm0449403
4044,nm0088396
